Geração;Fitness;
0;222289,13930514146;
0;198518,02886139785;
1;198518,02886139785;
2;198518,02886139785;
3;198518,02886139785;
4;198518,02886139785;
5;197543,81644374924;
6;197352,2227280006;
7;197294,60264166901;
8;197294,60264166901;
9;197294,60264166901;
10;197294,60264166901;
11;197259,56215730097;
12;197259,56215730097;
13;197259,56215730097;
14;196458,32255928087;
15;196458,32255928087;
16;195998,24686005563;
17;195998,24686005563;
18;195998,24686005563;
19;195998,24686005563;
20;195998,24686005563;
21;195998,24686005563;
22;195998,24686005563;
23;195998,24686005563;
24;195998,24686005563;
25;195998,24686005563;
26;195998,24686005563;
27;195998,24686005563;
28;195998,24686005563;
29;195998,24686005563;
30;195998,24686005563;
31;195998,24686005563;
32;195998,24686005563;
33;195998,24686005563;
34;195998,24686005563;
35;195998,24686005563;
36;195998,24686005563;
37;195998,24686005563;
38;195998,24686005563;
39;195998,24686005563;
40;195998,24686005563;
41;195998,24686005563;
42;195998,24686005563;
43;195998,24686005563;
44;195998,24686005563;
45;195998,24686005563;
46;195998,24686005563;
47;195998,24686005563;
48;195998,24686005563;
49;195998,24686005563;
50;195998,24686005563;
51;195998,24686005563;
52;195998,24686005563;
53;195998,24686005563;
54;195998,24686005563;
55;195998,24686005563;
56;195998,24686005563;
57;195998,24686005563;
58;195998,24686005563;
59;195998,24686005563;
60;195998,24686005563;
